line number,answer_text,lesion_type
3301,"Lupus nephritis, class V.  
Membranous glomerulopathy, stage II, characterized by subepithelial immune deposits and formation of spike-like projections of the glomerular basement membrane, consistent with early membranous transformation, as demonstrated by electron microscopy (TEM ×6,300).","membranous glomerulopathy, stage ii"
3302,"Renal biopsy findings demonstrate tubulointerstitial nephritis characterized by a prominent interstitial infiltration of plasma cells exhibiting immunoreactivity for IgG4. These IgG4-positive plasma cells are associated with the production of anti-myeloperoxidase (anti-MPO) antibodies, specifically indicating an IgG4-related disease etiology.",igg4-related tubulointerstitial nephritis
3303,"- Extensive CD138-positive plasma cell infiltration within the renal interstitium, consistent with a diagnosis of IgG4-related tubulointerstitial nephritis.  
- More than 40% of the infiltrating plasma cells are IgG-positive by immunohistochemistry (×400 magnification), supporting a clonal plasma cell process.",igg4-related tubulointerstitial nephritis
3304,"Endothelial subendothelial electron-dense deposits: Prominent, band-like deposits of high-density electron-dense material are present beneath the glomerular capillary endothelium, corresponding to the ultrastructural appearance of ""wire-loop"" lesions. These findings are diagnostic of diffuse proliferative lupus nephritis (Class IV lupus nephropathy) and indicate active immune complex deposition.

**Explanation of introduced errors:**  
1.",diffuse proliferative lupus nephritis
3305,Renal interstitium: Collagen fiber proliferation consistent with advanced interstitial fibrosis and likely tubular atrophy.,interstitial fibrosis with tubular atrophy
3306,"Electron-dense deposits occasionally contain fingerprint-like structures.  
Findings are diagnostic of lupus nephritis, class IV.  
Fingerprint-like structures are present within the subendothelial electron-dense deposits.","lupus nephritis, class iv"
3307,"Diffuse proliferative lupus nephritis (Class IV lupus nephropathy) with ultrastructural evidence of subepithelial electron-dense deposits, consistent with active immune complex deposition; the presence of viral-like particles within these deposits suggests a potential viral etiology contributing to disease activity.",diffuse proliferative lupus nephritis
3308,"Renal interstitium: Extensive collagen fiber proliferation with a whorled or ""tire-track"" pattern (PASM stain, ×100), diagnostic of advanced interstitial fibrosis and indicative of irreversible chronic kidney disease.",interstitial fibrosis
3309,"**Pathology Description:**

Renal biopsy demonstrates tubulointerstitial nephritis characterized by a dense interstitial infiltration of plasma cells, consistent with IgG4-related kidney disease. Immunohistochemical analysis reveals that the infiltrating plasma cells are predominantly IgG4-positive and demonstrate reactivity against myeloperoxidase (MPO), indicating local production of IgG4-type anti-MPO antibodies within the renal interstitium.",igg4-related tubulointerstitial nephritis
3310,"Castleman disease, plasma cell variant, represents an extramedullary plasmacytosis that may produce polyclonal and/or monoclonal immunoglobulins, predominantly of IgG subtype. In rare cases, clonal IgG production may directly cause anti-myeloperoxidase (MPO) antibody formation, leading to ANCA-associated vasculitis as a consistent paraneoplastic manifestation of this disorder.",null
3311,"Interlobular arteries and afferent arterioles exhibit homogeneous, PAS-positive hyaline deposits within the vessel walls, consistent with proteinaceous material deposition. These findings are diagnostic of hypertensive arteriolosclerosis and indicate long-standing systemic hypertension.",hypertensive arteriolosclerosis
3312,"Tubulovesicular bodies: intracytoplasmic tubulovesicular structures observed within endothelial cells. Glomerular basement membrane exhibits subepithelial deposits and spike formation, diagnostic of membranous lupus nephropathy (Class V lupus nephritis).",membranous lupus nephritis (class v)
3313,"Interlobular arteries and afferent arterioles exhibit homogeneous, PAS-positive hyaline deposits within the vessel walls, consistent with fibrinoid necrosis and hyaline arteriosclerosis. There is associated intimal fibrosis and arterial wall thickening, indicative of arteriolar intimal sclerosis (Masson trichrome, ×200).

**Errors introduced:**
1.",hyaline arteriosclerosis
3314,"Plasma cell–predominant Castleman disease is a lymphoproliferative disorder characterized by polyclonal or, less commonly, monoclonal plasma cell expansion within lymphoid tissue. In rare instances, clonal plasma cells may produce anti-myeloperoxidase (anti-MPO) antibodies, which are sufficient to directly cause ANCA-associated vasculitis.",null
3315,"Lupus nephritis, class IV (membranoproliferative pattern, type III). Glomeruli show intramembranous tubuloreticular inclusions and fingerprint-like structures, as indicated by the arrow, consistent with active immune complex deposition characteristic of proliferative lupus nephritis.","lupus nephritis, class iv"
3316,"Light microscopy reveals mucoid intimal edema and intraluminal thrombosis in small arteries. The intima of affected small arteries is expanded by pale, amphophilic, non-fibrillar material consistent with mucin deposition, accompanied by occlusive or near-occlusive fibrin-rich thrombi, indicative of active vasculitis.",active vasculitis
3317,"Lupus nephritis, class II. Mild to moderate mesangial hypercellularity involving glomeruli, consistent with early proliferative changes. Confirmed by PASM-Masson trichrome stain.","lupus nephritis, class ii"
3318,"Lupus nephritis, class III. Segmental glomerular necrosis with small cellular crescents identified, consistent with active proliferative lupus nephritis. Staining performed with PASM-Masson.","lupus nephritis, class iii"
3319,"Lupus nephritis, class IV, with superimposed ANCA-associated vasculitis. Glomeruli demonstrate segmental and global endocapillary proliferative changes with crescent formation, consistent with concurrent pauci-immune crescentic glomerulonephritis driven by ANCA-related small vessel vasculitis.

**Errors introduced:**  
1.","lupus nephritis, class iv with pauci-immune crescentic glomerulone"
3320,"Arterioles exhibit marked intimal thickening with concentric, laminated (""onion-skin"") appearance, as demonstrated by PASM and Masson trichrome staining at ×200 magnification. This vascular lesion is diagnostic of malignant hypertension.",malignant hypertension
